Manufacturer;StockName;LabelWidth;LabelHeight;PaperWidth;PaperHeight;NumberOfRows;NumberOfColumns;HorizontalGap;VerticalGap;LeftMargin;TopMargin
Eltron;800240-105;4.0000;1.0000;4.0020;1.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800240-155;4.0000;1.5000;4.0020;1.5020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800240-205;4.0000;2.0000;4.0020;2.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800240-305;4.0000;3.0000;4.0020;3.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800240-405;4.0000;4.0000;4.0020;4.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800240-500;4.0000;5.0000;4.0020;5.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800240-505;4.0000;5.0000;4.0020;5.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800240-605;4.0000;6.0000;4.0020;6.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800262-075;2.2500;0.7500;2.2520;0.7520;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800262-125;2.2500;1.2500;2.2520;1.2520;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800262-205;2.2500;2.0000;2.2520;2.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800262-405;2.2500;4.0000;2.2520;4.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800264-125;4.0000;1.2500;4.0020;1.2520;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800264-305;4.0000;3.0000;4.0020;3.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800264-405;4.0000;4.0000;4.0020;4.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800264-505;4.0000;5.0000;4.0020;5.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800264-605;4.0000;6.0000;4.0020;6.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800266-243;4.0000;3.0000;8.0020;3.0020;2;1;0.0000;0.0000;0.0020;0.00195
Eltron;800266-405;6.0000;4.0000;6.0020;4.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800266-654;6.5000;4.0000;6.5020;4.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800266-856;8.5000;6.0000;8.5020;6.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800266-858;8.5000;8.0000;8.5020;8.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800266-997;8.5000;11.0000;8.5020;11.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800268-835;8.0000;3.5000;8.0020;3.5020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800268-995;8.0000;10.0000;8.0020;10.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800272-125;2.2500;1.2500;2.2520;1.2520;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800274-155;4.0000;1.5000;4.0020;1.5020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800274-305;4.0000;3.0000;4.0020;3.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800274-405;4.0000;4.0000;4.0020;4.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800274-505;4.0000;5.0000;4.0020;5.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800274-605;4.0000;6.0000;4.0020;6.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800276-243;4.0000;3.0000;8.0020;3.0020;2;1;0.0000;0.0000;0.0020;0.00195
Eltron;800276-405;6.0000;4.0000;6.0020;4.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800276-654;6.0000;4.0000;6.0020;4.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800276-856;8.5000;6.0000;8.5020;6.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800276-993;6.5000;12.0000;6.5020;12.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800276-994;8.0000;13.8700;8.0020;13.8720;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800276-995;8.0000;10.0000;8.0020;10.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800310-105;1.0000;1.0000;1.0020;1.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800310-300;1.0000;3.0000;1.0020;3.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800315-105;1.5000;1.0000;1.5020;1.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800320-155;2.0000;1.5000;2.0020;1.5020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800320-205;2.0000;2.0000;2.0020;2.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800320-305;2.0000;3.0000;2.0020;3.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800320-405;2.0000;4.0000;2.0020;4.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800322-125;2.2500;1.2500;2.2520;1.2520;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800322-205;2.2500;2.0000;2.2520;2.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800330-225;3.0000;2.2500;3.0020;2.2520;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800340-155;4.0000;1.5000;4.0020;1.5020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800340-305;4.0000;3.0000;4.0020;3.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800340-405;4.0000;4.0000;4.0020;4.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800340-505;4.0000;5.0000;4.0020;5.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800340-605;4.0000;6.0000;4.0020;6.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800512-105;1.2500;1.0000;1.2520;1.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800522-075;2.2500;0.7500;2.2520;0.7520;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800522-125;2.2500;1.2500;2.2520;1.2520;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800522-205;2.2500;2.0000;2.2520;2.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800522-305;2.2500;3.0000;2.2520;3.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800522-405;2.2500;4.0000;2.2520;4.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800530-105;3.0000;1.0000;3.0020;1.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800530-205;3.0000;2.0000;3.0020;2.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800540-105;4.0000;1.0000;4.0020;1.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800540-155;4.0000;1.5000;4.0020;1.5020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800540-205;4.0000;2.0000;4.0020;2.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800540-250;4.0000;2.5000;4.0020;6.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800540-305;4.0000;3.0000;4.0020;3.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800540-405;4.0000;4.0000;4.0020;4.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800540-500;4.0000;5.0000;4.0020;6.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800540-501;4.0000;5.0000;4.0020;5.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800540-505;4.0000;5.0000;4.0020;5.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800540-600;4.0000;6.0000;4.0020;6.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800540-601;4.0000;6.0000;4.0020;6.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800540-605;4.0000;6.0000;4.0020;6.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800622-075;2.2500;0.7500;2.2520;0.7520;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800622-125;2.2500;1.2500;2.2520;1.2520;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800622-155;4.0000;1.5000;4.0020;1.5020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800622-205;2.2500;2.0000;2.2520;2.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800622-305;2.2500;3.0000;2.2520;3.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800622-405;2.2500;4.0000;2.2520;4.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800622-505;4.0000;5.0000;4.0020;5.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800622-605;4.0000;6.0000;4.0020;6.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800704-505;4.0000;5.0000;4.0020;5.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800722-075;2.2500;0.7500;2.2520;0.7520;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800722-125;2.2500;1.2500;2.2520;1.2520;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800722-205;2.2500;2.0000;2.2520;2.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800722-305;2.2500;3.0000;2.2520;3.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800722-405;2.2500;4.0000;2.2520;4.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800740-105;2.2500;1.0000;2.2520;1.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800740-155;2.2500;1.5000;2.2520;1.5020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800740-305;4.0000;3.0000;4.0020;3.0020;1;1;0.0000;0.0000;0.0020;0.00195
